datafile,type,gender,group,GABA,Acetylcholine,Glycine,Histamine,Taurine,Serotonin,Tyramine,Cortisol,Epinephrine,L-Aspartate,L-Glutamine,L-DOPA,L-Histidine,Pyroglutamate,L-Glutamate,Adenosine,L-Homocysteate,L-Thyronine,L-2-Aminoadipate
20200103_fecesC_Conv_30A1A_M_t3_Pos_FS_2uL_233,feces,male,CONV-R,103604363.4,1655839273,583704.7138,107740351.6,2358957.678,6417718.651,18446013.94,619685.4326,9059220.341,618170005.9,103026265.1,9755903.123,35613893.99,67061645.04,4658001684,8314960.529,6256599.585,3678741.438,12064035.97
20200103_fecesC_Conv_30A1B_M_t3_Pos_FS_2uL_212,feces,male,CONV-R,147269134.2,1180572551,407629.0281,166316794.3,9287637.305,12557066.74,32770687.37,714610.9464,8922676.361,371340529.6,143220.0712,12378399.07,18379170.94,56302370.94,4538886600,11553122.87,12670225.67,4347540.591,14337429.42
20200103_fecesC_Conv_30A1C_M_t3_Pos_FS_2uL_209,feces,male,CONV-R,61981578.55,579743193.9,1273246.012,62358039.32,11569629.96,13222142,13504192.9,658975.1902,6203792.986,950459112.6,123921934.4,8277155.472,113170459.1,45974509.78,3250064482,7346384.97,6043846.113,2892716.942,4238086.97
20200103_fecesC_Conv_30A2A_M_t3_Pos_FS_2uL_229,feces,male,CONV-R,93718264.84,1193539572,285317.7456,149349841.9,5760807.93,8572747.993,18930831.87,189707.6936,8525770.25,450111770.7,59174185.21,10695819.64,22085981,52316819.11,4363952626,9751274.041,7357898.793,3671324.649,12435684.77
20200103_fecesC_Conv_30A2B_M_t3_Pos_FS_2uL_225,feces,male,CONV-R,91513074.64,428901263.1,817984.1898,133392642.3,10122223.3,10296102.74,15339550.38,665157.4269,8777059.612,655841173.8,81010737.93,8561553.401,122974908.4,35045888.51,2787316261,5781612.878,6841566.893,3978955.633,5780255.904
20200103_fecesC_Conv_30A2C_M_t3_Pos_FS_2uL_224,feces,male,CONV-R,73380227.9,663208914.5,860724.3642,129438151.5,8575979.839,10772384.31,21144315.75,541690.4736,8194654.321,728267941.5,116616909.1,7838133.29,33629397.85,57795754.88,3689630918,6985303.083,4697016.637,3466588.137,6355708.128
20200103_fecesC_Conv_9A1C_F_t3_Pos_FS_2uL_234,feces,female,CONV-R,75030259.78,121441334.9,528086.0836,5665489.106,189572584.6,5942213.49,7646071.177,165241.9146,8397176.401,509217840.5,82764406.32,44726475.53,115030263.7,17058418.59,2248390216,11332987.23,4127245.674,779597.9073,31753197.69
20200103_fecesC_Conv_9A2A_F_t3_Pos_FS_2uL_215,feces,female,CONV-R,37870622.9,721333517.9,390625.7181,4022078.224,490124423.3,7580095.533,3404213.523,466855.6899,3890810.216,469036430.2,82720474.67,41051070.76,79233500.26,15447173.59,2171922068,7257860.201,5602530.873,3754787.558,26865238.63
20200103_fecesC_Conv_9A2B_F_t3_Pos_FS_2uL_221,feces,female,CONV-R,44947262.84,328434686.4,189096.1914,6089779.273,346481167,7070893.494,6308941.066,219452.7368,5664550.549,721015793.2,75683912.75,84061627.65,92861847.45,16954086.43,2588202114,6854376.298,2928316.402,1880152.774,4252633.914
20200103_fecesC_Conv_9A2C_F_t3_Pos_FS_2uL_231,feces,female,CONV-R,55984823.45,119393184.3,624870.6517,4872787.665,95602647.17,5600718.566,3180122.359,209936.1025,10316657.46,963311017.8,123080186,64797847.15,109142496.1,24083023.91,3042590912,12153528.71,1940944.136,125108.6913,29331122.15
20200103_fecesC_Conv_9A2D_F_t3_Pos_FS_2uL_219,feces,female,CONV-R,45311751.41,425119602.9,189522.3992,6112296.616,460094662.4,7018914.274,5806159.888,317906.5814,9021619.944,479973786.3,87221509.69,35960459.82,70851803.44,14956957.09,2169691593,6160927.331,6196363.441,1722125.644,3770298.675
20200103_fecesC_Conv_9A2E_F_t3_Pos_FS_2uL_223,feces,female,CONV-R,32786576.3,235890955.6,318401.6806,4843805.392,122279683.9,5512558.405,5717254.824,205257.4679,4701504.32,610839713.6,67704006.06,43301503.92,95277329.47,16909189.03,2196781325,9215161.517,3153486.38,1033711.941,24983889.59
20200103_fecesC_GF_27F2_t3_Pos_FS_2uL_211,feces,female,GF,9714080.09,12509955.48,1686912.137,2799000.21,5179287.4,1739026.458,1261459.463,450416.9106,2560317.117,212344121.3,234445866.3,9051544.64,378327003.5,20196146.01,1327843170,31551873.66,1384861.529,1176438.741,127396405
20200103_fecesC_GF_27F3_t3_Pos_FS_2uL_213,feces,female,GF,19942310.29,21509566.46,1047969.61,4813257.663,49530965.69,1857074.591,1590347.684,1421921.46,1970428.299,182465684.3,254099133.4,3366112.017,358151274.4,14962275.25,1082327394,33133068.91,1891313.553,957289.8976,111793274.8
20200103_fecesC_GF_27F4_t3_Pos_FS_2uL_218,feces,female,GF,11262882.4,16566745.18,1440578.479,1853251.801,10862813.06,1385749.339,513542.0556,1254850.427,2727490.329,234335799.7,198771181.1,8889834.67,330207285.7,18846479.25,1291566698,35345621.48,2042332.235,1142779.499,126000149.3
20200103_fecesC_GF_27F5_t3_Pos_FS_2uL_228,feces,female,GF,7901705.816,12510128.97,1256061.922,3783631.325,3690211.547,1173209.96,3091869.882,439146.2905,2048032.457,278243249.6,224018076.7,6181891.63,378043155.4,21492713.42,1550434835,45647526.79,683247.5617,866481.8384,130978260.2
20200103_fecesC_GF_27F6_t3_Pos_FS_2uL_216,feces,female,GF,10184703.53,15493198.52,1540274.678,3660674.686,9076570.801,1338334.579,1975249.771,799601.9133,2681989.057,228980499,180677740.2,6363777.029,315766442.8,18941961.69,1478732993,35438825.92,1084859.913,1170467.404,133986849.6
20200103_fecesC_GF_27F7_t3_Pos_FS_2uL_220,feces,female,GF,9963836.322,16804377.85,1608471.796,3291739.216,12619813.18,2301527.652,2851707.07,1414032.847,2665837.963,217283044.5,249070439.8,12252095.02,333473572.3,19500817.51,1483887302,50600066.9,1229616.967,1042439.61,143486245.8
20200103_fecesC_GF_27M1_t3_Pos_FS_2uL_232,feces,male,GF,7880306.017,11364228.68,1112820.84,2320429.89,7064938.751,1148812.348,1546608.731,2574001.893,2388167.541,134092153.2,132382204.2,4515528.988,192691986.4,13031618.83,919941276.1,27868645.98,540831.3673,978636.2172,93895978.92
20200103_fecesC_GF_27M2_t3_Pos_FS_2uL_210,feces,male,GF,11420760.98,11530264.17,1054703.348,6594816.418,8590544.219,954665.2588,2711981.069,2722251.476,2021838.483,140289718.5,144414551,5269610.348,215486232.1,12044815.51,972371261.1,27462810.47,660241.6168,1378082.269,98725099.75
20200103_fecesC_GF_27M5_t3_Pos_FS_2uL_222,feces,male,GF,6798488.978,10360397.85,1308988.943,2642171.153,4594474.448,1116227.514,2814488.06,4100122.343,2547393.088,145070889.3,166462620.5,4779745.86,224144372.2,14912038.61,1086261008,29980069.64,744886.1508,1113248.729,116381856.4
20200103_fecesC_GF_27M7_t3_Pos_FS_2uL_230,feces,male,GF,9112598.229,15554368.83,1360256.17,2734398.956,10531452.45,2021829.247,3135194.52,4379311.508,2619087.603,164829750.6,189316246.4,5759558.404,233052529.3,17072603.7,1333652259,39908143.14,1140466.006,1251297.998,127078653.7
20200103_fecesC_GF_27M8_t3_Pos_FS_2uL_227,feces,male,GF,13578039.48,10369078.59,1078484.401,7457898.575,3092829.388,1912819.77,3536491.563,3071808.079,2015237.126,122074625.1,182194946.4,6478004.172,216561891.3,15971375.91,1330747883,35716440.91,1132165.303,1414808.191,238481299.7
20200103_fecesC_GF_27M9_t3_Pos_FS_2uL_214,feces,male,GF,8480165.192,11006332.73,1568552.444,3737532.064,5547117.974,834982.091,2325265.645,3060473.973,2541355.251,173463545.8,172873745.8,6312940.045,246201291.8,17808617.08,1211391940,28462006.59,658699.4894,1519545.849,144843992.5
