id,name,group,updown
M166T1_2,L-Cysteine,Female-Only,CONV-R Enriched
M245T5_5,Isoleucyl-Isoleucine,Female-Only,CONV-R Enriched
M249T9_1,Tetranor 12-HETE,Female-Only,CONV-R Enriched
M326T4_3,Urothion,Female-Only,CONV-R Enriched
M585T11_1,Bilirubin,Female-Only,CONV-R Enriched
M126T1_7,Taurine,Female-Only,CONV-R Enriched
M220T6_6,(2-Naphthalenyloxy)acetate,Female-Only,CONV-R Enriched
M261T2_3,_-Glutamylleucine,Female-Only,CONV-R Enriched
M112T1_6,Cytosine,Female-Only,CONV-R Enriched
M136T1_7,Adenine,Female-Only,CONV-R Enriched
M155T3,"2,3-Dihydro-2,3-dihydroxybenzoate",Female-Only,CONV-R Enriched
M165T3_1,3-Methylxanthine,Female-Only,CONV-R Enriched
M175T2_4,2-Isopropylmalate,Female-Only,CONV-R Enriched
M196T1_8,N2-Succinyl-L-glutamate 5-semialdehyde,Female-Only,CONV-R Enriched
M207T1_4,2-Mercaptoglutarate,Female-Only,CONV-R Enriched
M223T5_2,Dehydrochorismate,Female-Only,CONV-R Enriched
M231T5_6,6-Nonenoylglycine,Female-Only,CONV-R Enriched
M232T1_8,Asparaginyl-Valine,Female-Only,CONV-R Enriched
M241T8_2,9-Pentadecenoate,Female-Only,CONV-R Enriched
M267T4_8,Threoninyl-Phenylalanine,Female-Only,CONV-R Enriched
M293T4_6,Isoleucyl-Tyrosine,Female-Only,CONV-R Enriched
M313T7_6,5-Androstenediol,Female-Only,CONV-R Enriched
M85T1_2,"2,3-Butadione",Female-Only,CONV-R Enriched
M179T5,Caffeate,Female-Only,GF Enriched
M195T2_4,4-Aminohippurate,Female-Only,GF Enriched
M201T2_4,Proclavaminate,Female-Only,GF Enriched
M245T1_8,Uridine,Female-Only,GF Enriched
M263T5_4,Phenylacetyl L-glutamine,Female-Only,GF Enriched
M321T2_1,Thymidine 5'-monophosphate (TMP),Female-Only,GF Enriched
M441T7_6,Tirofiban,Female-Only,GF Enriched
M573T9,Vitamin D2 3-glucuronide,Female-Only,GF Enriched
M100T1,1-Aminocyclopropane-1-carboxylate,Female-Only,GF Enriched
M191T1_5,Citrate,Female-Only,GF Enriched
M205T4_7,L-Tryptophan,Female-Only,GF Enriched
M230T2_5,N-Acetylhistidine,Female-Only,GF Enriched
M245T4_3,Indolylacryloylglycine,Female-Only,GF Enriched
M112T1_2,1-Pyrroline-5-carboxylate,Female-Only,GF Enriched
M148T4_3,3-Methyl-3-phenylazetidine,Female-Only,GF Enriched
M157T1_10,4-Amino-5-hydroxymethyl-2-methylpyrimidine,Female-Only,GF Enriched
M178T1_8,Glucosamine,Female-Only,GF Enriched
M240T5_1,Indole-3-carboxylate-O-sulfate,Female-Only,GF Enriched
M254T5_3,N-Lactoyl-Tyrosine,Female-Only,GF Enriched
M294T4_11,Val-Pro-Pro,Female-Only,GF Enriched
M330T1_6,2'-Deoxyadenosine 5'-monophosphate (dAMP),Female-Only,GF Enriched
M331T7_4,12-Hydroxyheptadecanoate,Female-Only,GF Enriched
M364T7_4,"9,10-Dihydroxy-13-hydroperoxy-11-octadecenoate",Female-Only,GF Enriched
M367T5_3,3-O-Caffeoyl-4-O-methylquinate,Female-Only,GF Enriched
M120T1_9,L-Threonine,Female-Only,GF Enriched
M147T1_10,L-Glutamine,Female-Only,GF Enriched
M160T4_6,N-(2-Methylbutyryl)glycine,Female-Only,GF Enriched
M193T1_11,Hydroxycotinine,Female-Only,GF Enriched
M193T1_6,D-(+)-Galacturonate,Female-Only,GF Enriched
M202T1_5,Cysteine-S-sulfate,Female-Only,GF Enriched
M236T4_3,Biopterin,Female-Only,GF Enriched
M243T1_9,_-Pseudouridine,Female-Only,GF Enriched
M257T1_10,Dihydrothymine,Female-Only,GF Enriched
M259T2_1,_-L-Glutamyl-L-pipecolate,Female-Only,GF Enriched
M301T2_2,3''-Deamino-3''-oxonicotianamine,Female-Only,GF Enriched
M338T4_2,N(2)-Carboxyethyl-2'-deoxyguanosine,Female-Only,GF Enriched
M350T3_2,Coutarate,Female-Only,GF Enriched
M112T1_10,Histamine,Male-Only,CONV-R Enriched
M138T2_3,Tyramine,Male-Only,CONV-R Enriched
M144T2_2,Proline betaine,Male-Only,CONV-R Enriched
M153T2_2,Xanthine,Male-Only,CONV-R Enriched
M159T5_2,Pimelate,Male-Only,CONV-R Enriched
M170T1_9,Norepinephrine,Male-Only,CONV-R Enriched
M172T1_6,(5S)-5-(Carboxymethyl)-L-proline,Male-Only,CONV-R Enriched
M173T6,Suberate,Male-Only,CONV-R Enriched
