id,name,group,updown
M146T1_14,Spermidine,Not Gender Specific,CONV-R Enriched
M151T5_2,4-Hydroxyphenylacetate,Not Gender Specific,CONV-R Enriched
M153T5,"2,3-Dihydroxybenzoate",Not Gender Specific,CONV-R Enriched
M165T6_2,DL-3-Phenyllactate,Not Gender Specific,CONV-R Enriched
M173T4_2,Phenyl sulfate,Not Gender Specific,CONV-R Enriched
M177T4_3,"3,3'-Thiobispropanoate",Not Gender Specific,CONV-R Enriched
M180T5_4,Hippurate,Not Gender Specific,CONV-R Enriched
M188T7,Indole-3-acrylate,Not Gender Specific,CONV-R Enriched
M190T7_2,Indole-3-propionate,Not Gender Specific,CONV-R Enriched
M190T7_4,Methyl indole-3-acetate,Not Gender Specific,CONV-R Enriched
M194T5_2,N-(2-Phenylacetyl)glycine,Not Gender Specific,CONV-R Enriched
M212T5,Indoxyl sulfate,Not Gender Specific,CONV-R Enriched
M231T4_1,Vanillin 4-sulfate,Not Gender Specific,CONV-R Enriched
M263T5_3,Phenylacetyl L-glutamine,Not Gender Specific,CONV-R Enriched
M276T4_3,_-Anthropyranose,Not Gender Specific,CONV-R Enriched
M391T8_4,Chenodeoxycholate ,Not Gender Specific,CONV-R Enriched
M76T1_2,Trimethylamine N-oxide (TMAO),Not Gender Specific,CONV-R Enriched
M114T1_7,Creatinine,Female Only,CONV-R Enriched
M119T1_6,"(S)-3,4-Dihydroxybutyrate",Female Only,CONV-R Enriched
M141T1_8,1-Methyl-4-imidazoleacetate,Female Only,CONV-R Enriched
M143T1_10,Ectoine,Female Only,CONV-R Enriched
M146T6_2,Indole-3-carboxaldehyde,Female Only,CONV-R Enriched
M150T1_8,L-Methionine,Female Only,CONV-R Enriched
M162T2_2,N-Acetyl-L-cysteine,Female Only,CONV-R Enriched
M176T1_14,Citrulline,Female Only,CONV-R Enriched
M179T5_2,Caffeate,Female Only,CONV-R Enriched
M195T6_2,Ferulate,Female Only,CONV-R Enriched
M206T6_2,Indolelactate,Female Only,CONV-R Enriched
M350T8,Sphingosine 1-phosphate (d16:1-P),Female Only,CONV-R Enriched
M458T9,Acetolein,Female Only,CONV-R Enriched
M712T8,"PE(16:1(9Z)/18:3(9Z,12Z,15Z))",Female Only,CONV-R Enriched
M749T9_1,"PE(18:0/20:4(5Z,8Z,11Z,13E)(15OH[S]))",Female Only,CONV-R Enriched
M90T1_3,Sarcosine,Female Only,CONV-R Enriched
M129T1_9,Pyroglutamine,Male Only,CONV-R Enriched
M135T1_9,L-Malate,Male Only,CONV-R Enriched
M137T6_2,Salicylate,Male Only,CONV-R Enriched
M162T1_8,L-Carnitine,Male Only,CONV-R Enriched
M162T6_3,"2,4-Quinolinediol",Male Only,CONV-R Enriched
M175T1_10,L-Arginine,Male Only,CONV-R Enriched
M220T4_2,D-(+)-Pantothenate,Male Only,CONV-R Enriched
M232T4_4,Butyrylcarnitine,Male Only,CONV-R Enriched
M258T1_3,Glycerophosphocholine,Male Only,CONV-R Enriched
M425T1_5,Cysteineglutathione disulfide,Male Only,CONV-R Enriched
M427T1_2,L-Cysteine-glutathione disulfide,Male Only,CONV-R Enriched
M103T1_5,3-Hydroxybutyrate,Not Gender Specific,GF Enriched
M105T1_6,(S)-3-Hydroxyisobutyrate,Not Gender Specific,GF Enriched
M113T4,"2,3-Hexanedione",Not Gender Specific,GF Enriched
M116T1_5,L-2-Amino-3-oxobutanoate,Not Gender Specific,GF Enriched
M120T6_2,Indoline,Not Gender Specific,GF Enriched
M123T5_5,4-Ethylphenol,Not Gender Specific,GF Enriched
M125T4_1,5-Methylfuran-2-carboxylate,Not Gender Specific,GF Enriched
M130T1_5,N-Acetyl-L-alanine,Not Gender Specific,GF Enriched
M131T2_1,Glutarate,Not Gender Specific,GF Enriched
M131T7_2,Heptanoate,Not Gender Specific,GF Enriched
M137T5_2,Phenylacetate,Not Gender Specific,GF Enriched
M141T5_4,"2-Propyl-2,4-pentadienoate",Not Gender Specific,GF Enriched
M141T6,4-Ene-valproate,Not Gender Specific,GF Enriched
M142T3,Vinylacetylglycine,Not Gender Specific,GF Enriched
M143T1_12,N-(3-Aminopropyl)-2-pyrrolidinone,Not Gender Specific,GF Enriched
M153T1_5,Diethylphosphate,Not Gender Specific,GF Enriched
