,type,Conv_M1,Conv_M2,Conv_M3,Conv_M4,Conv_M5,Conv_M6,Conv_F1,Conv_F2,Conv_F3,Conv_F4,Conv_F5,Conv_F6,GF_F1,GF_F2,GF_F3,GF_F4,GF_F5,GF_F6,GF_M1,GF_M2,GF_M3,GF_M4,GF_M5,GF_M6
Tetrahydroaldosterone-3-glucuronide,glucuronide,50055.264,0,42410.23962,22545.69463,0,0,0,0,0,0,0,0,892940.4653,731754.1564,878058.7779,730886.677,896811.7875,1115138.766,1233198.882,1247886.953,1165082.295,1423010.69,1090095.885,1211230.878
6-Hydroxy-5-methoxyindole glucuronide,glucuronide,378719.5222,56030.20794,478132.5866,469888.2764,524328.2728,353355.917,38790.95129,45783.1992,34976.32442,69576.24851,28189.69676,34605.45064,2268170.308,2262979.289,2684929.572,2246085.077,2435703.797,3018347.67,2128296.816,2247405.753,2153262.15,2496171.913,2073940.165,2339694.853
Ethyl-beta-D-glucuronide,glucuronide,489854.7178,3763123.28,3454367.855,2121131.546,3238308.488,304628.6001,4124611.038,3412889.802,4328439.9,4530291.082,2758338.608,3663834.829,122287.1609,125199.7705,137169.4772,162822.6751,160141.413,195064.4677,74630.86984,134006.6165,147419.8711,198236.6119,138161.0631,180609.11
"Cholestane-3,7,12,25-tetrol-3-glucuronide",glucuronide,22327.50221,0,26259.64712,11220.99817,7277.137764,25759.85177,0,0,0,0,8697.726078,0,1990687.435,2175150.003,2329552.711,2245810.588,2057932.842,3610533.061,2294771.4,2016187.791,1857864.501,3286757.689,3099867.858,1702625.957
N-Hydroxydebrisoquine O-glucuronide,glucuronide,369236.9693,305133.9372,247881.0637,275200.4012,252106.2167,266075.0351,163883.8572,143555.689,212366.6553,256172.613,176025.0031,232039.4556,2964012.867,2843414.927,3043668.57,2929184.181,3173664.906,3336037.226,2470050.583,2554659.928,2737963.954,3186418.343,3018181.391,2883330.673
Glycitein 4'-O-glucuronide,glucuronide,0,0,0,0,0,0,5333.225038,0,0,0,0,0,998720.2372,948890.8196,1106425.005,1115241.606,391783.8243,3166738.113,479314.413,320514.8604,1108442.303,1118808.951,1099902.15,1006155.588
Benzoyl glucuronide,glucuronide,1003341.029,1184078.997,1592639.067,1129240.939,988268.0086,2316537.593,662038.5361,998195.4062,859599.6012,1609532.527,982834.5655,2341738.717,581772.7685,949248.7404,10019525.83,565341.3139,469185.3311,11900116.79,10904005.77,11359913.41,10851049.81,9809968.44,11794041.31,9987112.397
Indole-3-acetate O-glucuronide,glucuronide,837491.4784,777096.0763,599008.9041,603121.4281,859725.874,614262.0236,565921.4535,697974.7585,399269.1173,353316.5704,332279.1834,444750.1444,4423625.531,4542472.477,438001.1723,4511099.788,4837360.69,5587366.305,3589780.712,4059667.2,4354674.817,4515737.673,3936650.503,4632110.637
N-Acetylserotonin glucuronide,glucuronide,1282409.984,706727.2193,613259.7692,446610.9625,1235577.422,654272.3041,14288.14214,50525.10885,37033.75921,51394.47955,47688.8602,50979.0431,1576182.432,1880217.168,1864696.943,1706536.31,1851964.358,1937726.533,1621034.445,1605409.809,1797829.065,2213678.362,2373824.297,2075955.288
Cortolone-3-glucuronide,glucuronide,2114575.913,2173373.925,3942426.945,1632412.153,2844859.864,3149854.193,733156.7312,1167614.158,837437.8938,585666.0573,892495.6451,959495.1927,5893421.568,5731966.452,6339838.597,5312113.081,6548274.604,7247478.404,4393939.361,5267896.769,5443041.935,6042715.819,6816485.809,6096567.312
MOPEG glucuronide,glucuronide,648536.4822,202916.2588,437421.0234,266905.7883,340928.6284,699559.5781,63689.30326,62328.55283,64218.33568,216010.3486,127074.4659,82445.8085,2268163.223,2030774.665,2769002.46,2049637.763,2662893.833,2390450.524,2959502.686,3655661.577,2911600.737,2694708.998,2271667.22,3051617.577
Genistein 4'-O-glucuronide,glucuronide,0,0,34464.15487,0,0,0,0,0,0,0,0,0,337302.4329,366583.984,343412.7588,303009.9406,298730.5635,414401.1039,477074.7688,444484.3653,391754.9706,473020.8659,237375.2497,330684.0498
Vitamin D2 3-glucuronide,glucuronide,439401.799,0,0,186106.5954,141348.4708,130181.5856,193352.3713,9553.760919,43239.84375,246050.5797,63854.3836,114876.8738,170867.5962,235961.0855,506958.9474,943851.5466,316694.4337,860922.2123,1061644.097,122989.8403,491239.0578,1253411.09,800461.9384,211134.1093
