1_30A1A_M,2_30A1B_M,3_30A1C_M,4_30A2A_M,5_30A2B_M,6_30A2C_M,7_9A1C_F,8_9A2A_F,9_9A2B_F,10_9A2C_F,11_9A2D_F,12_9A2E_F,13_GF_27F2,14_GF_27F3,15_GF_27F4,16_GF_27F5,17_GF_27F6,18_GF_27F7,19_GF_27M1,20_GF_27M2,21_GF_27M5,22_GF_27M7,23_GF_27M8,24_GF_27M9
12944924.49,8303636.7,13720146.41,10457789.16,5351780.322,13985811.79,7154949.106,7741763.489,12838425.17,8059760.24,5557801.829,12203686.44,13635711.91,7526933.854,12750783.37,11443851.76,6291406.016,11934635.03,11978078.26,10132642.2,11584519.04,13421949,5862131.718,12304350.99
233594965.3,212465780.8,193412626.5,235590546,202062192.2,221328174.9,228329909.5,216868907.4,182755665.9,255824804.8,235154215.8,120720245.9,211708512.8,122675455.8,185928198.8,209427152.3,201481517.7,179599249.3,238107688.4,134988733.6,217202108,252094174.3,212553556.7,201308904.8
243493402.3,133810040.5,203848387.1,230621556.3,229968367.7,188372843.6,245465804.2,213872594.8,222079826.8,255316915,195784479.1,194316821.8,207238792.2,213880885.1,218034770,220445657.1,229752840.6,154340844.1,240051971.4,160497303.7,205856017.8,220442665.7,217254487.9,218627390.1
15451851.37,13417317.59,13694466.95,15175125.97,8518718.629,15619881.58,14576158.28,13591350.77,9160299.224,17989148.36,12699481.94,11348730.28,14342184.29,14082931.02,15352314.12,14070509.5,12771955.73,10571446.1,14497244.61,8918158.992,6563705.712,16414822.99,15407638.73,14293267.12
6722984.814,6616868.1,6816127.101,6351860.552,6560232.24,6697367.698,6227666.524,6357212.579,6041120.166,5457152.494,6081730.144,6299665.916,6630227.232,6858313.612,6446005.801,5967197.652,6094877.807,5822126.238,6185397.451,6623582.983,6365754.576,5907548.106,6681008.815,5931946.559
355709470.9,3573966.945,268215942.9,3554392.931,68676000.7,295656040.5,405071491.6,253978050.7,229384592.1,357875330.9,292200971.6,136423258.7,121827367.4,66469998.74,69050002.82,135757680.2,112352923,3927093.689,260523852.5,222423903.7,133761908.7,3842691.18,176791917.6,2980648.972
2062149.864,2382380.02,2372497.324,2136944.943,2345873.495,2374022.259,2124972.181,2194428.8,2088401.531,1758543.26,1927432.018,2277296.861,2143681.214,2748376.839,2672212.062,2155280.241,2075752.01,1373038.78,2222949.862,2266622.819,2380789.211,2040590.161,2471575.656,2516989.902
83022905.63,58460255.04,56759894.09,82831229.49,107492002.6,104133647.6,80641161.68,59955190.09,57971894.33,71273902.28,106432364.8,102419557.3,82358903.31,91641947.9,67539473.51,101505884.1,56036186.26,100415118.8,118076107.5,60346431.66,95681225.34,117687754.2,99701232.95,87724108.57
37313003.51,29125145.65,21639609.32,38826288.45,33614092.12,28258690.21,37361550.27,33399410.06,30500771.29,27743521.32,30324439.85,31456091.18,18037525.22,28706758.07,26024530.65,28575630.7,33551583.31,23744885.3,25599721.45,23788441.62,32166615.09,36165020.85,30155327.57,23585026.52
14575084.15,15179808.67,28272327.48,17640128.91,11793168.82,10176412.41,15237039.44,12445763.64,14169978.38,13610958.05,13916825.66,5568845.252,25923145.29,11835381.93,12035604.51,12358066.2,13706949.63,42874211.79,13957892.59,5052272.737,11721622.07,16524233.08,13065176.15,12806790.04
195964.4821,9142359.2,8627806.375,544136.3837,4322242.524,4032681.525,3847124.695,754660.6182,3522473.292,5934396.337,799007.066,887717.344,7713475.999,354239.8794,7372483.317,4231666.576,459279.3934,9176800.136,9257784.271,289470.138,412636.42,9530703.593,3812019.636,3557964.187
58035559.71,72882090.02,53644514.64,64144171.97,66162799.82,54042458.78,61980467.4,71779432.86,58996846.28,58640458.73,67908375.13,61492499.53,66622792.34,69528489.48,69911783.75,63113599.07,69388569.73,64378127.2,59112539.34,59722538.36,58338626.7,57761451.84,67453509.37,57403540.16
62600563.02,45648738.85,43249822.23,56853589.57,61534501.8,82083048.47,86981124.45,89211890.88,71181148.57,77776891.25,80188207.3,77223216.54,48204207.11,47244701.24,63215772.62,61420569.07,84559623.03,64505246.21,66598351.68,42061359.48,64845800.19,61324794.75,64020952.35,50558505.58
10932300.08,13071905.9,10579205.79,11974304.38,12172127.18,10969856.19,9680522.037,13540567.59,11001891.25,8985536.723,13116025.97,11645836.75,12677569.29,13294002.48,12222460.19,10720638.94,12181616.22,12602036.77,10934567.02,11963079.97,9837645.222,10476095.41,12224254.25,12206562.93
37889757.65,10887860.27,12132103.36,15918288.2,1171989.613,10240546.08,13938817.58,8182712.54,44089867.48,2944920.094,5561035.925,11891454.4,9664544.787,11317763.36,17095310.99,9990303.241,13656589.99,51653165.2,11868180.91,2009672.794,12985841.27,14279665.62,10388364.59,19034605.82
221183605.8,39806379.54,78850788.17,73111541.79,103520436.6,69078319.08,187678330.4,98170828.64,397346944.7,121044813.4,162657727.2,188448135.7,70891293.76,51931052.46,10358249.97,475622599.5,129088618.6,590847435,626897554.8,55567789.48,81875051.68,18020825.99,576256848.5,72289707.04
195280148.9,211934798.5,17448312.68,180175685.7,169984114.4,144365540.7,268828847.4,142715842.5,106215391.4,183413310.9,203602814,191403233.9,113965786.8,189288792.4,166920906.9,108065251,194941555.3,144762312.2,157561139.4,126689676.1,23784761.87,191810293.6,137983918.7,274285566.4
15254394.33,101166519.2,152808956.8,227498343.7,177787738.5,112903273.4,213458448.6,197035193.1,195511698.1,97107894.92,154408287.9,181562006.2,101374219.6,135407594.9,161078732.5,122957684.5,120182148.7,184529551.9,176662183.5,168154595.2,74736669.42,139291691.5,84810009.03,140560106
507691573.7,163491835.6,7399917.026,192125215.2,194165746.2,232431429.7,359759992.5,198931432,168926137.7,226269166,174134969.7,186158080.1,174124003.9,192416505,192362942.7,184868664.7,218493865.4,211255478.7,222790568.9,171265432.8,197339091.6,203705826.9,169965055,155657116
412998204.1,325280560.4,231258230.3,268160230.1,238254047.4,277719497.7,194115859,312257126.9,430473929.2,469381543.2,303108709.4,386989835.4,380066721.5,332765261.1,415516198,408157209.8,414227988.8,250394299.3,131853954.5,325245691.3,401093713,431065104.7,304167140,280775761.1
10632845.49,11649313.72,17847193.24,14068309.04,23869061.65,18452371.52,15250857.98,10441008.12,10178087.27,25644789.98,28562831.49,12047047.5,17862887.35,17074839.15,27065772.65,71905.3411,18504817.09,10914229.41,18868145.55,16902879.19,17702022.11,13177224.69,16666133.48,17872990.33
4627206.991,5315779.25,5587501.663,5776107.488,5222277.505,4050649.832,5156084.561,16977796.76,15442581.78,6493014.376,6465991.822,5579623.868,21781644.72,10657222.83,10335011.39,9933032.059,7741248.027,18853222.95,6673547.954,8856509.833,8638418.047,8617581.572,9044350.566,22136480.11
6718449.58,7090498.205,7300622.685,5558693.223,5347250.677,5923239.968,4890528.783,6299845.988,5918019.615,6500565.664,6112566.673,5222308.454,6304139.407,5829636.529,5795366.856,5285311.78,6206990.813,6029679.881,5541079.849,6914034.574,5716985.846,5269019.971,5487770.845,6005727.044
139339046.3,151552095.3,75450165.96,116818749.1,116491296,92911243.31,145114138.5,119597745.1,121412843.4,141524808.2,123102832.3,240574528.4,102806489.4,120536441.4,104154007.4,191276531.1,102234808.7,169539969.3,133695064.2,106803520.6,134367482.1,137625723.7,124673518,100724171.9
5309119.319,4220005.943,5119089.681,1888323.235,4592432.851,2061838.296,2094029.565,5463480.034,2503253.354,2226920.223,4378405.611,4327643.075,2784350.794,3505182.682,2557177.742,3640398.148,5191844.102,2247694.335,4481892.382,5194018.318,3430729.674,4546667.48,2325100.62,4671551.356
1437019.219,998582.7745,3381677.534,1462372.453,530423.023,524136.8897,1183340.113,1271894.67,807572.5461,1258567.432,843355.2743,783926.3625,715386.4798,861733.254,869287.4824,1222861.211,1099640.056,488746.6565,837825.4298,1159111.894,1093046.44,1058171.867,2887347.628,871048.1218
4516415.685,1209275.594,5148234.54,635162.7574,553315.2395,1323857.279,1464807.637,959011.1795,904122.9061,1420712.474,1204448.289,1247854.327,887518.88,1389949.833,1378255.327,4701810.539,502853.8963,1151947.364,1300292.032,955865.6331,719790.7477,763091.2019,4703702.247,864807.7639
809321.7312,470116.2427,578375.3906,389744.6605,812245.577,803003.4491,530174.0496,959895.5588,557928.619,875388.7961,743044.9039,589056.3089,681006.7033,685830.8337,750695.4016,759774.7147,586908.489,711032.633,735338.7503,732189.023,320881.441,988643.4137,799403.3263,527389.53
3321039.599,1065417.846,2805985.86,1003525.946,1020210.167,2374644.85,2873271.803,2628839.471,1250191.606,1225115.147,1895639.321,1986958.502,1335632.315,2652250.377,1143069.728,2282789.209,1517255.798,1771931.768,2260244.328,1637476.707,1130736.897,1905471.472,1129684.194,2683085.041
2470756.611,2322835.208,2543163.316,2298868.676,2414027.073,2499529.735,2216492.291,2138411.138,2217760.389,2126767.809,2383608.194,2548301.66,2682027.091,2628553.233,2571872.195,2515303.673,2273274.316,2178141.829,2239379.209,2542164.657,2464110.038,2397879.654,2466590.793,2394163.006
6194214.106,3262872.887,2775402.266,6052273.033,3573544.122,3569762.103,4359299.783,3273863.891,2936424.372,4267834.123,3348088.266,3566781.483,3774321.176,3332200.824,3279622.556,4401410.897,1554828.652,3493142.818,4079991.96,2800520.256,3362153.011,4732188.927,5767667.275,5035200.281
1653249.085,1561279.979,1515225.61,1175958.28,1036458.51,1559420.487,1096502.061,1263825.92,1189490.749,1463816.149,1007147.214,1097312.499,1549405.895,1333221.994,1298205.078,1639038.947,1235039.953,1571763.988,1402659.435,1324728.037,1167480.853,1070071.279,1293954.824,1264985.479
