"","variable","importance"
"1","X204",0.957426710544358
"2","X5288144",0.914661904761905
"3","X53481617",0.74730303030303
"4","X444972",0.723333333333333
"5","X439176",0.720066666666667
"6","X53481004",0.676958823529412
"7","X1145",0.586333333333333
"8","X68144",0.552614705882353
"9","X10258",0.4525
"10","X92135",0.448132051282051
"11","X60961",0.437676563958917
"12","X22935676",0.43535641025641
"13","X11266",0.374128205128205
"14","X8094",0.362318318695408
"15","X273260",0.328403932909196
"16","X5280360",0.323030303030303
"17","X8892",0.282051587301587
"18","X9378",0.275689277389277
"19","X936",0.216260461760462
"20","X12681285",0.131554112554113
"21","X472",0.125493859649123
"22","X124886",0.115123389355742
"23","X67427",0.110363636363636
"24","X6057",0.104072261072261
"25","X967",0.102952380952381
"26","X435718",0.102562141779789
"27","X599",0.093725641025641
"28","X264",0.0905767676767677
"29","X151152",0.0748809523809524
"30","X44369311",0.0695364145658263
"31","X2781043",0.0663636363636364
"32","X99463",0.062352380952381
"33","X13712",0.0604974358974359
"34","X8742",0.0497818979266348
"35","X5753",0.0484
"36","X122357",0.047525641025641
"37","X6613",0.0392969696969697
"38","X135398641",0.03825
"39","X247",0.0366641025641026
"40","X51",0.0275923076923077
"41","X6137",0.0189
"42","X847",0.0137818181818182
"43","X964",0.00741666666666667
"44","X440272",0.00731428571428572
"45","X7018721",0.00711111111111111
"46","X439155",0.00676923076923077
"47","X446284",0.00373333333333333
"48","X92832",0.00369230769230769
"49","X6435901",0.00366666666666667
"50","X445063",0.00363636363636364
"51","X69522",0
"52","X5960",0
"53","X92904",0
"54","X71317118",0
"55","X10415542",0
"56","X75810",0
"57","X190",0
"58","X5789",0
