"","variable","importance"
"1","X31242",0.326333333333333
"2","X11953816",0.297833333333333
"3","X74426",0.283
"4","X526189",0.277166666666667
"5","X68144",0.272
"6","X10221437",0.271166666666667
"7","X20822599",0.253833333333333
"8","X53477718",0.248666666666667
"9","X88064",0.237
"10","X94340",0.2345
"11","X5460852",0.233833333333333
"12","X440033",0.230833333333333
"13","X53481681",0.230833333333333
"14","X440873",0.227833333333333
"15","X10133",0.211666666666667
"16","X92135",0.2105
"17","X8094",0.209166666666667
"18","X161166",0.2035
"19","X53481699",0.19180303030303
"20","X936",0.189166666666667
"21","X1021",0.188266666666667
"22","X93078",0.187833333333333
"23","X222285",0.186666666666667
"24","X19816752",0.186
"25","X61158071",0.180666666666667
"26","X192735",0.163
"27","X111",0.1625
"28","X11266",0.162166666666667
"29","X654",0.160833333333333
"30","X3744",0.1605
"31","X10258",0.1605
"32","X169485",0.1575
"33","X1145",0.148833333333333
"34","X52922056",0.140333333333333
"35","X74706",0.139333333333333
"36","X5179954",0.138833333333333
"37","X127370",0.136666666666667
"38","X84290",0.136166666666667
"39","X985",0.1345
"40","X5461103",0.133530303030303
"41","X152314",0.130833333333333
"42","X92832",0.119166666666667
"43","X13325862",0.118166666666667
"44","X469",0.114666666666667
"45","X50906608",0.112833333333333
"46","X5283138",0.094
"47","X19707",0.0936666666666667
"48","X53477817",0.093
"49","X446284",0.0895
"50","X52925310",0.0886666666666667
"51","X53477834",0.085
"52","X1712391",0.0715
"53","X168381",0.0715
"54","X12313328",0.0691666666666667
"55","X5753",0.0685
"56","X7015683",0.0675
"57","X19",0.0671666666666667
"58","X743",0.0645
"59","X61989",0.0645
"60","X52921873",0.0621666666666667
"61","X25244460",0.0478333333333333
"62","X5280383",0.0476666666666667
"63","X164795",0.0473333333333333
"64","X74710",0.0473333333333333
"65","X82111",0.0473333333333333
"66","X6453952",0.0471666666666667
"67","X10328",0.0471666666666667
"68","X689043",0.0471666666666667
"69","X96373",0.0471666666666667
"70","X176907",0.0471666666666667
"71","X5280523",0.0465
"72","X10130163",0.0463333333333333
"73","X5789",0.0458333333333333
"74","X5312983",0.045
"75","X60983",0.0446666666666667
"76","X204",0.0446666666666667
"77","X16663321",0.0441666666666667
"78","X213144",0.0438333333333333
"79","X92258",0.0438333333333333
"80","X10176752",0.0426666666666667
"81","X11805205",0.0422333333333333
"82","X5950",0.0421969696969697
"83","X53477713",0.0411666666666667
"84","X24884264",0.027469696969697
"85","X5375048",0.024
"86","X10690",0.024
"87","X6322",0.0238333333333333
"88","X160556",0.0238333333333333
"89","X61166",0.0238333333333333
"90","X22328017",0.0238333333333333
"91","X16061148",0.0238333333333333
"92","X14257919",0.0238333333333333
"93","X999",0.0238333333333333
"94","X3848",0.0238333333333333
"95","X126041",0.0233333333333333
"96","X92904",0.0233333333333333
"97","X25245902",0.0233333333333333
"98","X10917",0.0233333333333333
"99","X134459",0.0233333333333333
"100","X588",0.0233333333333333
"101","X790",0.0233333333333333
"102","X185",0.0225
"103","X193872",0.0225
"104","X8109",0.0225
"105","X71920",0.0225
"106","X5283162",0.0225
"107","X127",0.0225
"108","X121947",0.0213333333333333
"109","X9903897",0.0213333333333333
"110","X119405",0.0213333333333333
"111","X454064",0.0213333333333333
"112","X3314",0.0198333333333333
"113","X5327007",0.0198333333333333
"114","X65359",0.00366666666666667
"115","X750",0
"116","X5754",0
"117","X774",0
"118","X119",0
"119","X74839",0
"120","X12035",0
"121","X6106",0
"122","X6287",0
"123","X150929",0
"124","X11984188",0
"125","X25203382",0
"126","X439155",0
"127","X99463",0
"128","X88412",0
"129","X151008",0
"130","X1088",0
"131","X92105",0
"132","X161712",0
"133","X5962",0
"134","X196",0
"135","X193530",0
"136","X6137",0
"137","X10931",0
"138","X151023",0
"139","X306144",0
"140","X11736661",0
"141","X92865",0
"142","X65137",0
"143","X1059",0
"144","X97963",0
"145","X5280499",0
"146","X10256",0
"147","X1066",0
"148","X6368126",0
"149","X16900",0
"150","X757",0
"151","X10253562",0
"152","X305",0
"153","X171548",0
"154","X7092",0
"155","X5192",0
"156","X10457",0
"157","X12736",0
"158","X643757",0
"159","X2266",0
"160","X8096",0
"161","X15816",0
"162","X104896",0
"163","X72791584",0
"164","X440417",0
"165","X49844972",0
"166","X131769835",0
"167","X439162",0
"168","X464",0
"169","X5283344",0
"170","X56662027",0
"171","X71353010",0
"172","X440279",0
"173","X46173940",0
"174","X445858",0
"175","X8051",0
"176","X7045767",0
"177","X71464509",0
"178","X91825636",0
"179","X10458",0
"180","X13185",0
"181","X15569776",0
"182","X439717",0
"183","X3017884",0
"184","X5280450",0
"185","X5283151",0
"186","X10796774",0
"187","X16061079",0
"188","X131839802",0
"189","X445638",0
"190","X10459",0
"191","X439887",0
"192","X444899",0
"193","X7563148",0
"194","X5312830",0
"195","X5283128",0
"196","X445639",0
"197","X9548881",0
"198","X5283499",0
"199","X52924229",0
"200","X52925139",0
"201","X52926294",0
"202","X52929784",0
"203","X108335",0
"204","X69698",0
"205","X75810",0
"206","X6029",0
"207","X13712",0
"208","X53481030",0
"209","X107689",0
"210","X6195",0
"211","X9378",0
"212","X170295",0
"213","X385",0
"214","X5280691",0
"215","X1102",0
"216","X6508",0
"217","X54680871",0
"218","X10253",0
"219","X264",0
"220","X6441809",0
"221","X91486",0
"222","X52931110",0
"223","X440219",0
"224","X222656",0
"225","X51",0
"226","X1256",0
"227","X43045",0
"228","X586",0
"229","X9750",0
"230","X6613",0
"231","X493570",0
